"source","target","value"
"Domestic General Public","Misconnections",2
"Local and Central Government","Other (not in list, must add details in comments)",1
"Navigation","Inland boating and structures",3
"No sector responsible","Floating pennywort",1
"Recreation","Other (not in list, must add details in comments)",1
"Urban and transport","Flood protection - structures",2
"Urban and transport","Other (not in list, must add details in comments)",1
"Urban and transport","Transport Drainage",1
"Urban and transport","Urbanisation - urban development",4
"Water Industry","Sewage discharge (continuous)",2
"Water Industry","Sewage discharge (intermittent)",2
"Water Industry","Surface water abstraction",1
