"","text","n"
"1","a country estate",5
"2","luton hoo lake",5
"3","the mansion house",4
"4","traditional country pursuits",4
"5","the great lake",3
"6","the south lake",3
"7","a saxon word",2
"8","weir  luton",2
"9","<U+FFFD>magical fireworks",1
"10","<U+FFFD>s poem",1
"11","<U+FFFD>s swim",1
"12","<U+FFFD>s truths",1
"13","12<U+FFFD> water temp",1
"14","1st luton sea scouts",1
"15","20 yr old lee rogers",1
"16","300 limited awd",1
"17","a 150m loop",1
"18","a 1km swim lap",1
"19","a beautiful picture",1
"20","a beautiful sunday afternoon",1
"21","a beautiful wedding",1
"22","a beautiful woodland",1
"23","a cracking start",1
"24","a day walkathon complete aches",1
"25","a funeral<U+FFFD>",1
"26","a goodbye post",1
"27","a great eve",1
"28","a han river",1
"29","a luxury venue",1
"30","a private venue",1
"31","a regular openwater swimmer",1
"32","a shine late drinks",1
"33","a skilled painter",1
"34","bedroom gym swimming pool restaurant bar",1
"35","built banqueting venue",1
"36","executive chef position",1
"37","fun photo shoot",1
"38","her five cygnets",1
"39","hoo<U+FFFD>s lake",1
"40","its 1065acre estate four weddings",1
"41","lake como italy",1
"42","lancelot capability brown<U+FFFD>s lake",1
"43","luton hoo golf club",1
"44","luton hoo hotel golf",1
"45","luton hoo wetsuit",1
"46","luton hoos lake",1
"47","my ex boyfriend",1
"48","my favorite people",1
"49","my favorite photos",1
"50","my favourite swimming spot",1
"51","my own body weight",1
"52","new reference catalogue",1
"53","notting hill<U+FFFD>s pomona<U+FFFD>",1
"54","open air cinema",1
"55","open water swimming",1
"56","our exclusie new venue",1
"57","our new open water swimming venue",1
"58","our survey equipment",1
"59","river city grille",1
"60","ruth hansom leaves",1
"61","sadly local mozzies",1
"62","some lake golf course",1
"63","spoon river anthology edgar",1
"64","stormy monochrome view",1
"65","swim sessions cost <U+FFFD>",1
"66","the 1st luton sea scouts",1
"67","the 21 deg lake",1
"68","the beautiful lake",1
"69","the best things",1
"70","the biggest fish",1
"71","the chief scout greated scouts",1
"72","the first time",1
"73","the lake temperature",1
"74","the level control",1
"75","the luton hoo",1
"76","the luton hoo estate",1
"77","the luton hoo estate open air swimming lake",1
"78","the luton hoo lake",1
"79","the luton hoo loch",1
"80","the mama swan",1
"81","the potentially contaminated luton hoo upper lake",1
"82","the river lea",1
"83","the upper lake",1
"84","their 50 acre lake",1
"85","this gorgeous venue",1
"86","this picturesque view",1
"87","toms river",1
"88","wardown park luton",1
"89","warren weir lake",1
"90","warren weir<U+FFFD>s picturesque lake<U+FFFD>",1
"91","watt susie fowler love luton hoo",1
"92","weir luton",1
"93","your new open water swimming spot",1
