"source","target","value"
"Domestic General Public","Misconnections",7
"Local and Central Government","Other (not in list, must add details in comments)",1
"Navigation","Inland boating and structures",4
"Navigation","Use of restricted substance",1
"No sector responsible","Floating pennywort",1
"Other","Contaminated water body bed sediments",1
"Recreation","Other (not in list, must add details in comments)",1
"Sector under investigation","Incidents",1
"Sector under investigation","Unknown (pending investigation)",1
"Urban and transport","Contaminated water body bed sediments",1
"Urban and transport","Flood protection - structures",3
"Urban and transport","Other (not in list, must add details in comments)",1
"Urban and transport","Urbanisation - urban development",8
"Water Industry","Sewage discharge (continuous)",5
"Water Industry","Sewage discharge (intermittent)",7
"Water Industry","Surface water abstraction",3
