"","text","n"
"1","murry street wood brook",18
"2","brook street bureau",12
"3","1814 wood brook street",7
"4","upper brook street",5
"5","south east england",4
"6","wood green care",4
"7","1904 dartmouth street",3
"8","3 new pix",3
"9","brook modern solid wood dining chair set",3
"10","£250000 upper brook street london w1k   £250000 upper brook street london w1k  1 bed studio wood",2
"11","26 taylor street wood brook",2
"12","a small amount",2
"13","a4202 park lane w1k",2
"14","anna street wood brook",2
"15","bath 912014 brookline",2
"16","black brook drive",2
"17","brook solid wood dining chair",2
"18","brook street dudley",2
"19","brook street roundabout",2
"20","brook street tn9",2
"21","brook streetgornal wood service",2
"22","dale pls rt project manager job summary brook street",2
"23","free cardboard boxes",2
"24","insurance administrator job",2
"25","insurance advisor job",2
"26","rent 4 bedrooms 2 baths",2
"27","rgn deputy manager",2
"28","south east london",2
"29","the 1880s parts",2
"30","the flood relief channel",2
"31","the following link  cynthia",2
"32","the higham hill sewer dagenham brook",2
"33","the m25brook street lorry",2
"34","the stasny real estate group keller",2
"35","the wood brook condos",2
"36","this urban home",2
"37","wood brook street",2
"38","wood green care support worker  carers",2
"39","your private showing",2
"40","$147500 rare 3 bed 25 bath corner unit",1
"41","$6m fa 4500 sf",1
"42","£134995 brook street gornal wood dy3 price",1
"43","<u+0001f4a5>featured listing",1
"44","> alternative routes",1
"45","08042018  wood pigeon",1
"46","14 brook street beautiful new sash windows",1
"47","1504 local buses",1
"48","1904 dartmouth m1 street",1
"49","198 brook street fire",1
"50","2 bedroom 25 bath 2 story condo",1
"51","2 beds",1
"52","2 white street concord",1
"53","2017 jesmonite graphite archival print wood",1
"54","22 upper brook street",1
"55","225 poolside wood brook condo",1
"56","27 august 2018  wood pigeon",1
"57","2nd brook street 25 story wood frame",1
"58","50 brook street 2 12 story wood frame heavy fire",1
"59","6 room schoolhouse",1
"60","68 auburn rd",1
"61","71 new bond street",1
"62","a 1 acre wood lot",1
"63","a 2 story wood",1
"64","a 25 story wood dwelling fire",1
"65","a 3 bed 25 bath corner unit",1
"66","a 50 bus",1
"67","a basement fire",1
"68","a body shop",1
"69","a brook street",1
"70","a bus route",1
"71","a collapsed manhole cover",1
"72","a collapsed manholeutility cover",1
"73","a dynamic and professional wood joinery shop floor manager",1
"74","a few streets",1
"75","a huge thank",1
"76","a lane closure upper brook street",1
"77","a lil practice",1
"78","a local family",1
"79","a lovely wood staircase",1
"80","a narrow steeplysloped wood",1
"81","a nice image",1
"82","a raw ground floor space",1
"83","a secluded gated community",1
"84","a square bit",1
"85","a terrier type puppy",1
"86","a unique and contrasting perfume pop",1
"87","a wood brook college station condo",1
"88","a12 brentwood harold wood",1
"89","a12 colchester road",1
"90","a12 greater london  a12",1
"91","a12 greater london  a12 colchester road",1
"92","a12 greater london  one lane",1
