"","created_at","mean_senti"
"1",2008-11-10,2
"2",2008-12-03,2.75
"3",2009-02-19,0.6
"4",2009-02-22,0
"5",2009-03-02,1.35
"6",2009-03-03,2.25
"7",2009-04-07,0.6
"8",2009-04-26,0
"9",2009-06-30,1
"10",2009-07-02,1.6
"11",2009-07-22,1.2
"12",2009-08-10,1.05
"13",2009-09-02,0.85
"14",2009-09-22,-0.25
"15",2009-09-24,0.35
"16",2009-10-16,1.4
"17",2009-10-19,1.1
"18",2009-11-07,0.566666666666667
"19",2009-11-11,1.68333333333333
"20",2009-11-18,0.6
"21",2009-11-21,0.85
"22",2009-11-29,0
"23",2009-12-07,0.6
"24",2009-12-09,0.6
"25",2009-12-11,0.6
"26",2009-12-13,0.6
"27",2009-12-15,0.6
"28",2009-12-17,0.6
"29",2009-12-19,0.6
"30",2009-12-21,0.6
"31",2009-12-23,0.6
"32",2009-12-24,0.6
"33",2009-12-25,0.6
"34",2009-12-26,0.3
"35",2009-12-27,0.6
"36",2009-12-28,1.4
"37",2009-12-29,0.6
"38",2009-12-30,0.6
"39",2009-12-31,0.6
"40",2010-01-01,0.35
"41",2010-01-02,0.6
"42",2010-01-03,0.6
"43",2010-01-04,0.6
"44",2010-01-05,0.6
"45",2010-01-06,0.6
"46",2010-01-07,0.6
"47",2010-01-08,0.6
"48",2010-01-09,0.6
"49",2010-01-10,0.6
"50",2010-01-11,0.6
"51",2010-01-12,0.6
"52",2010-01-13,0.6
"53",2010-01-14,0.6
"54",2010-01-15,0.6
"55",2010-01-16,0.6
"56",2010-01-17,0.6
"57",2010-01-18,0.6
"58",2010-01-19,0.6
"59",2010-01-20,0.6
"60",2010-01-21,0.6
"61",2010-01-22,0.6
"62",2010-01-23,0.6
"63",2010-01-24,0.6
"64",2010-01-25,0.6
"65",2010-01-26,0.6
"66",2010-01-27,0.6
"67",2010-01-28,0.6
"68",2010-01-29,1.3304347826087
"69",2010-01-30,0.6
"70",2010-01-31,0.6
"71",2010-02-01,0.6
"72",2010-02-02,0.6
"73",2010-02-03,0.6
"74",2010-02-04,0.6
"75",2010-02-05,0.533333333333333
"76",2010-02-06,0.6
"77",2010-02-07,0.6
"78",2010-02-08,0.3
"79",2010-02-09,0.6
"80",2010-02-10,0.6
"81",2010-02-11,0.3
"82",2010-02-12,0.3
"83",2010-02-13,0.6
"84",2010-02-14,0.6
"85",2010-02-15,0.6
"86",2010-02-16,0.4
"87",2010-02-17,0.6
"88",2010-02-18,0.6
"89",2010-02-19,0.3
"90",2010-02-20,0.2
"91",2010-02-21,0.6
"92",2010-02-22,0.4
"93",2010-02-24,0.4
"94",2010-02-25,0.3
"95",2010-02-26,0.3
"96",2010-02-27,0.3
"97",2010-02-28,0.6
"98",2010-03-01,0.3
"99",2010-03-02,0.3
"100",2010-03-03,0.3
"101",2010-03-04,0.6
"102",2010-03-05,0.6
"103",2010-03-06,0.6
"104",2010-03-07,0.4
"105",2010-03-08,0.3
"106",2010-03-09,0.3
"107",2010-03-10,0.6
"108",2010-03-11,0.6
"109",2010-03-12,0.3
"110",2010-03-13,0.6
"111",2010-03-14,0.6
"112",2010-03-15,0
"113",2010-03-16,0
"114",2010-03-17,0
"115",2010-03-18,-0.9
"116",2010-03-19,0
"117",2010-03-22,0
"118",2010-03-25,0
"119",2010-03-26,0
"120",2010-03-27,0
"121",2010-03-28,0
"122",2010-03-29,0.425
"123",2010-04-02,0.6
"124",2010-04-03,0.6
"125",2010-04-04,0.6
"126",2010-04-05,0.3
"127",2010-04-06,0.6
"128",2010-04-07,0.3
"129",2010-04-09,0.4
"130",2010-04-11,0.3
"131",2010-04-12,0
"132",2010-04-13,0.516666666666667
"133",2010-04-15,0.6
"134",2010-04-16,0
"135",2010-04-17,1.48333333333333
"136",2010-04-18,0
"137",2010-04-19,0.4
"138",2010-04-21,0.4
"139",2010-04-22,0
"140",2010-04-23,0.6
"141",2010-04-25,0.4
"142",2010-04-27,0.6
"143",2010-04-29,0.6
"144",2010-04-30,1.4
"145",2010-05-01,0.4
"146",2010-05-03,0.4
"147",2010-05-04,0
"148",2010-05-05,0.6
"149",2010-05-06,1.2
"150",2010-05-07,0.6
"151",2010-05-09,0.6
"152",2010-05-11,0.6
"153",2010-05-12,0.6
"154",2010-05-13,0.3
"155",2010-05-14,0.175
"156",2010-05-15,0.6
"157",2010-05-16,0.3
"158",2010-05-17,0.6
"159",2010-05-18,0.3
"160",2010-05-19,0.65
"161",2010-05-20,0.6
"162",2010-05-21,0.3
"163",2010-05-22,0.6
"164",2010-05-23,0.6
"165",2010-05-24,0.6
"166",2010-05-25,0.6
"167",2010-05-26,0.6
"168",2010-05-27,1.5875
"169",2010-05-28,0.3
"170",2010-05-29,0.3
"171",2010-05-30,0.6
"172",2010-05-31,0.3
"173",2010-06-01,0.6
"174",2010-06-02,-0.0125
"175",2010-06-03,-0.2
"176",2010-06-05,0.6
"177",2010-06-06,0.3
"178",2010-06-07,0.3
"179",2010-06-08,0.4
"180",2010-06-09,0.6
"181",2010-06-10,0.2
"182",2010-06-11,0.6
"183",2010-06-12,0.6
"184",2010-06-14,0.6
"185",2010-06-15,0.2
"186",2010-06-16,0.6
"187",2010-06-17,0.6
"188",2010-06-18,1.11666666666667
"189",2010-06-19,0.6
"190",2010-06-20,0.6
"191",2010-06-21,0.3
"192",2010-06-22,0.6
"193",2010-06-23,0.3
"194",2010-06-24,0.3
"195",2010-06-25,0.3
"196",2010-06-26,0.6
"197",2010-06-27,0.6
"198",2010-06-28,0.6
"199",2010-06-29,0.6
"200",2010-06-30,0.0333333333333333
"201",2010-07-01,0.6
"202",2010-07-02,0.3
"203",2010-07-03,0.3
"204",2010-07-04,0.475
"205",2010-07-05,0.6
"206",2010-07-06,1.15
"207",2010-07-07,0
"208",2010-07-08,0.6
"209",2010-07-09,0.6
"210",2010-07-10,0.6
"211",2010-07-11,0.6
"212",2010-07-12,0.6
"213",2010-07-13,0.428571428571429
"214",2010-07-14,0.6
"215",2010-07-15,0.6
"216",2010-07-16,0.6
"217",2010-07-17,0.6
"218",2010-07-18,0.4
"219",2010-07-19,0.6
"220",2010-07-20,0.6
"221",2010-07-21,0.6
"222",2010-07-22,0.6
"223",2010-07-23,0.416666666666667
"224",2010-07-24,0.45
"225",2010-07-25,0.6
"226",2010-07-26,0.6
"227",2010-07-27,0.6
"228",2010-07-28,0.6
"229",2010-07-29,0.6
"230",2010-07-30,0.6
"231",2010-07-31,0.4
"232",2010-08-01,0.48
"233",2010-08-02,0.6
"234",2010-08-03,0.6
"235",2010-08-04,0.4
"236",2010-08-05,0.6
"237",2010-08-06,0.6
"238",2010-08-07,0.6
"239",2010-08-08,0.6
"240",2010-08-09,0.6
"241",2010-08-10,0.6
"242",2010-08-11,0.6
"243",2010-08-12,0.208333333333333
"244",2010-08-13,0.48
"245",2010-08-14,0.45
"246",2010-08-15,0.6
"247",2010-08-16,0.4
"248",2010-08-17,0.575
"249",2010-08-18,0.6
"250",2010-08-19,0.79
"251",2010-08-20,0.6
"252",2010-08-21,0.6
"253",2010-08-22,0.48
"254",2010-08-23,0.6
"255",2010-08-24,0.6
"256",2010-08-25,0.6
"257",2010-08-26,0.6
"258",2010-08-27,0.6
"259",2010-08-28,0.6
"260",2010-08-29,0.6
"261",2010-08-30,0.6
"262",2010-08-31,0.6
"263",2010-09-01,1
"264",2010-09-02,0.6
"265",2010-09-03,-0.5
"266",2010-09-07,2
"267",2010-09-09,1.11666666666667
"268",2010-09-10,0.35
"269",2010-09-14,0.6
"270",2010-09-19,0.85
"271",2010-09-22,0.05
"272",2010-09-23,0.19
"273",2010-09-24,0.283333333333333
"274",2010-09-25,-0.125
"275",2010-09-26,-0.25
"276",2010-09-27,-0.25
"277",2010-09-28,0.65
"278",2010-09-29,-0.25
"279",2010-09-30,0.65
"280",2010-10-01,0
"281",2010-10-02,-0.166666666666667
"282",2010-10-03,-0.25
"283",2010-10-04,-0.05
"284",2010-10-05,0.15
"285",2010-10-06,0.2
"286",2010-10-07,0.15
"287",2010-10-08,0.283333333333333
"288",2010-10-09,0.425
"289",2010-10-10,0.2
"290",2010-10-11,0.6
"291",2010-10-12,0.2
"292",2010-10-13,-0.125
"293",2010-10-14,0.425
"294",2010-10-15,0.55
"295",2010-10-16,-0.25
"296",2010-10-17,0.2
"297",2010-10-18,-0.25
"298",2010-10-19,0.283333333333333
"299",2010-10-20,0.2
"300",2010-10-21,0.24
"301",2010-10-22,0.15
"302",2010-10-24,-0.8
"303",2010-10-25,0.0875
"304",2010-10-26,-0.25
"305",2010-10-27,0.34
"306",2010-10-28,-0.25
"307",2010-10-29,0.425
"308",2010-10-30,-0.25
"309",2010-10-31,0.15
"310",2010-11-01,-0.25
"311",2010-11-02,0.283333333333333
"312",2010-11-03,-0.25
"313",2010-11-04,1.1
"314",2010-11-05,-0.25
"315",2010-11-06,0.691666666666667
"316",2010-11-08,0.55
"317",2010-11-09,0.35
"318",2010-11-10,0.0875
"319",2010-11-11,-0.25
"320",2010-11-12,0.2
"321",2010-11-13,-0.1875
"322",2010-11-14,0.61
"323",2010-11-15,-0.25
"324",2010-11-16,0.2
"325",2010-11-29,0.6
"326",2010-12-01,0
"327",2010-12-02,0.16875
"328",2010-12-03,0.15
"329",2010-12-12,1.35
"330",2010-12-15,1.3
"331",2010-12-22,0.1
"332",2010-12-27,0.6
"333",2010-12-31,-0.5
"334",2011-01-01,-0.5
"335",2011-01-06,-0.5
"336",2011-01-10,0.6
"337",2011-01-16,0.6
"338",2011-01-17,1.1
"339",2011-01-19,1.025
"340",2011-01-21,0.7
"341",2011-02-06,1.2
"342",2011-02-13,-0.4
"343",2011-02-24,2.05
"344",2011-02-26,0.05
"345",2011-02-28,0.9
"346",2011-03-01,0.85
"347",2011-03-04,2.4
"348",2011-03-05,0.5
"349",2011-03-11,0
"350",2011-03-18,1.85
"351",2011-03-20,0.75
"352",2011-03-23,2
"353",2011-03-30,0.6
"354",2011-03-31,0.6
"355",2011-04-02,0.4
"356",2011-04-04,1.6
"357",2011-04-06,0.35
