"","created_at","mean_senti"
"1",2009-11-06,0.65
"2",2010-01-20,0.25
"3",2010-02-11,0.25
"4",2010-03-09,-0.2
"5",2010-11-21,0.4
"6",2011-05-11,-0.5
"7",2011-05-13,0
"8",2011-07-04,0.25
"9",2011-08-14,-0.5
"10",2011-09-07,0.85
"11",2011-10-06,1.8
"12",2011-10-21,0
"13",2011-11-30,1.3
"14",2011-12-17,0.175
"15",2012-01-08,-1.15
"16",2012-01-23,1.05
"17",2012-01-30,0.25
"18",2012-01-31,0.55
"19",2012-03-05,-0.783333333333333
"20",2012-03-28,1
"21",2012-04-26,0.75
"22",2012-04-29,-0.25
"23",2012-04-30,0
"24",2012-05-01,-0.225
"25",2012-05-04,0
"26",2012-05-05,-0.75
"27",2012-05-06,0
"28",2012-05-08,0
"29",2012-05-26,0
"30",2012-06-21,0
"31",2012-06-28,-0.25
"32",2012-07-03,-0.25
"33",2012-07-22,0
"34",2012-07-30,0.5
"35",2012-08-09,-0.15
"36",2012-08-10,0
"37",2012-08-15,0.15
"38",2012-08-20,-1
"39",2012-10-07,0.75
"40",2012-11-01,0.75
"41",2012-11-06,-0.75
"42",2012-11-23,-1.25
"43",2012-11-24,0.25
"44",2012-11-25,-0.6
"45",2012-11-26,-0.333333333333333
"46",2012-11-27,-1.6
"47",2012-11-28,-2.15
"48",2012-12-01,0.75
"49",2012-12-20,0
"50",2012-12-21,-0.2
"51",2012-12-22,0
"52",2012-12-25,-0.5
"53",2012-12-26,-0.5
"54",2012-12-27,-0.75
"55",2012-12-31,0.525
"56",2013-01-04,-0.5
"57",2013-01-05,0.15
"58",2013-01-11,0.65
"59",2013-01-27,0
"60",2013-02-02,0
"61",2013-02-03,-0.025
"62",2013-02-05,-0.75
"63",2013-02-18,-0.25
"64",2013-02-24,-0.25
"65",2013-03-01,0.5
"66",2013-03-02,1.5
"67",2013-03-05,0.6
"68",2013-03-30,0
"69",2013-04-14,0
"70",2013-04-29,0.4
"71",2013-05-06,2.45
"72",2013-05-14,0.4
"73",2013-06-23,0
"74",2013-06-24,-0.5
"75",2013-07-23,-1
"76",2013-07-24,0.75
"77",2013-08-07,0.5
"78",2013-08-20,0.75
"79",2013-08-21,0.75
"80",2013-10-14,0
"81",2013-10-26,1.15
"82",2013-11-05,0
"83",2013-11-16,1.15
"84",2013-11-21,0
"85",2013-12-15,0
"86",2013-12-24,0.25
"87",2014-01-07,0.5
"88",2014-01-25,-0.25
"89",2014-01-28,0.5
"90",2014-02-07,0.35
"91",2014-02-14,0.6
"92",2014-02-28,-0.425
"93",2014-03-11,-0.25
"94",2014-03-21,0
"95",2014-03-24,0.5
"96",2014-04-25,0
"97",2014-07-11,0.9
"98",2014-07-16,0.6
"99",2014-08-02,0
"100",2014-08-19,-0.75
"101",2014-11-03,0.6
"102",2014-11-14,1
"103",2014-11-17,0.1
"104",2014-11-29,0.8
"105",2014-12-02,0.95
"106",2015-01-24,-0.15
"107",2015-04-06,2.05
"108",2015-04-07,0.65
"109",2015-04-15,0
"110",2015-07-25,-0.6
"111",2015-07-28,0
"112",2015-08-21,1.8
"113",2015-08-30,0.5
"114",2015-10-03,0
"115",2015-10-14,1.75
"116",2015-10-18,-0.5
"117",2015-11-05,1
"118",2015-11-23,1.25
"119",2015-12-08,1.5
"120",2015-12-10,2.4
"121",2015-12-21,0.654545454545455
"122",2015-12-22,1
"123",2016-01-03,0.5
"124",2016-01-16,-0.25
"125",2016-01-30,0.6
"126",2016-02-03,0.35
"127",2016-02-16,0.8
"128",2016-03-03,-0.15
"129",2016-03-04,0
"130",2016-03-08,-0.25
"131",2016-03-18,-0.75
"132",2016-03-23,0
"133",2016-03-27,0
"134",2016-04-02,0.5
"135",2016-04-22,1.4
"136",2016-04-27,1.1
"137",2016-05-05,0
"138",2016-05-12,-1.3
"139",2016-05-13,0.3
"140",2016-05-21,0.5
"141",2016-05-24,-0.25
"142",2016-06-11,0.35
"143",2016-06-26,-0.25
"144",2016-07-19,0.25
"145",2016-08-04,0.1
"146",2016-08-12,-0.00588235294117648
"147",2016-08-13,0.05
"148",2016-08-24,-0.9
"149",2016-08-25,-0.75
"150",2016-08-27,-0.65
"151",2016-08-30,1.75
"152",2016-08-31,-1.8
"153",2016-09-01,-0.1
"154",2016-09-04,0.75
"155",2016-09-07,0.925
"156",2016-09-10,-1
"157",2016-09-11,-0.816666666666667
"158",2016-09-14,-0.68
"159",2016-09-18,0
"160",2016-09-20,0.5
"161",2016-09-24,0
"162",2016-10-03,0
"163",2016-10-07,0
"164",2016-10-17,0.275
"165",2016-10-19,0.5
"166",2016-10-24,0
"167",2016-11-12,-1
"168",2016-12-04,-0.5
"169",2017-01-18,-0.2
"170",2017-01-27,-0.0249999999999999
"171",2017-02-10,-0.75
"172",2017-02-11,-0.75
"173",2017-02-13,0.6
"174",2017-02-15,0
"175",2017-03-08,0
"176",2017-03-22,-0.5
"177",2017-04-20,0
"178",2017-05-19,0
"179",2017-05-26,0.25
"180",2017-05-29,-1.8
"181",2017-06-21,0.75
"182",2017-07-07,0.7
"183",2017-09-07,0
"184",2017-10-29,0.6
"185",2017-11-16,1.65
"186",2017-11-19,-0.159375
"187",2017-11-20,0.264285714285714
"188",2017-11-21,0.25
"189",2017-11-22,-0.183333333333333
"190",2017-11-23,0.0625
"191",2017-11-29,-1.5
"192",2017-12-11,1.85
"193",2018-03-08,0.6
"194",2018-03-13,1
"195",2018-03-18,0.8
"196",2018-04-05,0.6
"197",2018-04-07,1.7
"198",2018-04-26,2.15
"199",2018-05-01,3.75
"200",2018-05-16,3.25
"201",2018-05-22,-1
"202",2018-06-15,2.15
"203",2018-06-29,-2.45
"204",2018-07-15,1.85
"205",2018-07-20,1.35
"206",2018-07-24,1.3
"207",2018-07-28,2.85
"208",2018-08-05,0.6
"209",2018-09-09,-0.1125
"210",2018-09-11,0.75
"211",2018-09-12,0.75
"212",2018-09-26,2.65
