"","mean_senti","Date"
"1",0.2,2009-07-01
"2",-0.25,2010-01-01
"3",0.9,2010-05-01
"4",0.75,2010-08-01
"5",0,2010-10-01
"6",0,2010-12-01
"7",-0.75,2011-06-01
"8",0.6,2011-07-01
"9",0.25,2011-08-01
"10",-0.25,2012-01-01
"11",0.4,2012-06-01
"12",0,2012-08-01
"13",0,2012-10-01
"14",-0.5,2013-04-01
"15",-1.6,2013-05-01
"16",-0.141666666666667,2013-06-01
"17",0.3,2013-07-01
"18",0.75,2013-08-01
"19",0.25,2013-09-01
"20",0.575,2013-10-01
"21",0.125,2013-11-01
"22",0.75,2014-01-01
"23",0.258333333333333,2014-04-01
"24",0.675,2014-05-01
"25",0.375,2014-06-01
"26",0,2014-07-01
"27",0.75,2014-09-01
"28",0.125,2014-10-01
"29",0.375,2014-11-01
"30",-0.15,2015-01-01
"31",0.766666666666667,2015-02-01
"32",0.0973809523809524,2015-04-01
"33",-1,2015-05-01
"34",0.775,2015-06-01
"35",0.75,2015-07-01
"36",-0.125,2015-08-01
"37",1,2015-09-01
"38",0.575,2016-02-01
"39",1.6,2016-04-01
"40",0.4,2016-05-01
"41",0,2016-07-01
"42",0.25,2016-08-01
"43",0.1,2016-09-01
"44",0.133333333333333,2016-10-01
"45",0.6,2016-11-01
"46",0.6,2016-12-01
"47",1.75,2017-02-01
"48",0.87,2017-04-01
"49",1.3,2017-05-01
"50",-0.15,2017-06-01
"51",0.5,2017-07-01
"52",0.4,2017-09-01
"53",1.5,2017-10-01
"54",0,2017-12-01
"55",0,2018-01-01
"56",0.125,2018-02-01
"57",1.25,2018-06-01
"58",1.35,2018-07-01
"59",0.75,2018-08-01
"60",-0.4,2018-11-01
"61",0.1,2018-12-01
"62",0.95,2019-02-01
"63",0,2019-03-01
"64",0.75,2019-05-01
"65",0,2019-09-01
"66",0.35,2019-10-01
"67",3.8,2019-11-01
"68",0,2020-01-01
"69",-0.025,2020-02-01
"70",1.6,2020-04-01
"71",1.725,2020-05-01
"72",-0.0833333333333333,2020-07-01
"73",1.1625,2020-08-01
"74",2.15,2020-09-01
"75",1.7,2020-10-01
"76",0.8,2021-02-01
"77",0,2021-03-01
"78",1.125,2021-04-01
"79",0.0833333333333333,2021-05-01
"80",0.6,2021-06-01
