"source","target","value"
"Agriculture and rural land management","Farm/site infrastructure",1
"Agriculture and rural land management","Groundwater abstraction",1
"Agriculture and rural land management","Poor nutrient management",2
"Agriculture and rural land management","Poor soil management",1
"Domestic General Public","Private Sewage Treatment",2
"Industry","Contaminated land",3
"No sector responsible","Natural conditions - other",1
"Sector under investigation","Unknown (pending investigation)",4
"Urban and transport","Transport Drainage",1
"Water Industry","Groundwater abstraction",1
"Water Industry","Leaking utility sewers",2
"Water Industry","Surface water abstraction",1
