"","mean_senti","Date"
"1",0,2008-12-01
"2",0.5,2009-05-01
"3",0,2009-09-01
"4",1.95,2009-10-01
"5",0.4,2010-01-01
"6",0,2010-04-01
"7",-0.5,2010-05-01
"8",0.05,2010-06-01
"9",0.85,2010-07-01
"10",2.35,2011-02-01
"11",1.5,2011-04-01
"12",0.75,2011-07-01
"13",0,2011-08-01
"14",-0.25,2011-10-01
"15",1.85,2011-12-01
"16",0.45,2012-01-01
"17",-0.25,2012-02-01
"18",-0.3375,2012-03-01
"19",0.725,2012-04-01
"20",0.333333333333333,2012-05-01
"21",-0.2,2012-06-01
"22",0.82,2012-07-01
"23",-0.149177631578947,2012-08-01
"24",0.416666666666667,2012-09-01
"25",0.68,2012-11-01
"26",0.333333333333333,2012-12-01
"27",0.35,2013-01-01
"28",0.35,2013-02-01
"29",-0.0333333333333333,2013-03-01
"30",0.48,2013-04-01
"31",-0.85,2013-05-01
"32",1.0625,2013-06-01
"33",-0.13,2013-07-01
"34",0.6,2013-10-01
"35",0,2013-11-01
"36",-0.536363636363636,2013-12-01
"37",-0.0611111111111111,2014-01-01
"38",-0.383333333333333,2014-02-01
"39",0.125,2014-04-01
"40",0.575,2014-06-01
"41",0.633333333333333,2014-07-01
"42",0.325,2014-08-01
"43",0.35625,2014-09-01
"44",0.075,2014-10-01
"45",0.45,2014-11-01
"46",0,2015-01-01
"47",0.37,2015-02-01
"48",0.5375,2015-03-01
"49",0.305,2015-04-01
"50",0.4875,2015-05-01
"51",0.125,2015-06-01
"52",0.87,2015-07-01
"53",0.5,2015-08-01
"54",0.75,2015-10-01
"55",0.333333333333333,2015-11-01
"56",0.616666666666667,2016-01-01
"57",2.6,2016-02-01
"58",0.8,2016-03-01
"59",0.8,2016-04-01
"60",0.716666666666667,2016-05-01
"61",0,2016-06-01
"62",-0.175,2016-07-01
"63",1.09,2016-08-01
"64",0.42,2016-09-01
"65",0.325,2016-10-01
"66",0.641666666666667,2016-11-01
"67",-0.45,2016-12-01
"68",0.6875,2017-01-01
"69",1,2017-02-01
"70",1.0875,2017-03-01
"71",0.516666666666667,2017-04-01
"72",0.5,2017-05-01
"73",0.8,2017-06-01
"74",0.625,2017-07-01
"75",0.55,2017-08-01
"76",0.50625,2017-09-01
"77",0.997916666666667,2017-10-01
"78",0.166666666666667,2017-11-01
"79",0.266666666666667,2017-12-01
"80",0.4,2018-01-01
"81",0.925,2018-02-01
"82",0.583333333333333,2018-03-01
"83",0.75,2018-04-01
"84",0.916666666666667,2018-05-01
"85",0.608333333333333,2018-06-01
"86",0.735,2018-07-01
"87",0.33,2018-08-01
"88",0.316666666666667,2018-09-01
"89",0.564285714285714,2018-10-01
"90",0.7625,2018-11-01
"91",-0.375,2018-12-01
"92",-0.433333333333333,2019-01-01
"93",1.2,2019-02-01
"94",0.3,2019-03-01
"95",0.625,2019-04-01
"96",1.55,2019-05-01
"97",0.2125,2019-06-01
"98",0.25,2019-07-01
"99",-0.9,2019-08-01
"100",1.3,2019-09-01
"101",-0.5,2019-10-01
"102",-0.0433333333333333,2019-11-01
"103",-0.375,2019-12-01
"104",0.2375,2020-01-01
"105",0.132005494505495,2020-02-01
"106",1.0125,2020-03-01
"107",0,2020-04-01
"108",0,2020-05-01
"109",0.7375,2020-06-01
"110",0.74,2020-07-01
"111",0.8125,2020-08-01
"112",0.533333333333333,2020-09-01
"113",0.91,2020-10-01
"114",1.23333333333333,2020-11-01
"115",0.25,2020-12-01
"116",0.629166666666667,2021-01-01
"117",0.716666666666667,2021-02-01
"118",1.86,2021-03-01
"119",1.31,2021-04-01
"120",-0.325,2021-05-01
"121",0.6625,2021-06-01
"122",0.965,2021-07-01
"123",-0.675,2021-08-01
