"","X","text","n"
"1",1,"the white horse",15
"2",2,"north cotswold hunt",2
"3",3,"the chalk downland",2
"4",4,"the oldest chalk figure",2
"5",5,"white horse hunt",2
"6",6,"a blanketmobled babe",1
"7",7,"a classic album cover",1
"8",8,"a short film",1
"9",9,"a similar style",1
"10",10,"a wet and grey day",1
"11",11,"all odds englands",1
"12",12,"an ancient meeting place",1
"13",13,"best driving road",1
"14",14,"bratton cand",1
"15",15,"cerna abbas giant",1
"16",16,"cuckmere haven vale",1
"17",17,"eric ravilious the vale",1
"18",18,"hillside chalk thousands",1
"19",19,"his well known and less well known watercolours",1
"20",20,"its chalk horse",1
"21",21,"its namesake chalk country",1
"22",22,"its striking chalk outline",1
"23",23,"its the eric ravilious hill figure card collection",1
"24",24,"massive chalk horse",1
"25",25,"old standing ground",1
