"","created_at","mean_senti"
"1",2009-04-14,-0.75
"2",2009-11-27,-0.75
"3",2009-12-16,-0.75
"4",2009-12-21,-0.275
"5",2010-02-16,-0.35
"6",2010-03-14,2.65
"7",2010-05-06,-0.525
"8",2010-06-25,0
"9",2010-07-04,0
"10",2010-09-19,-0.25
"11",2010-10-16,1.65
"12",2010-12-01,0.75
"13",2011-01-10,-1.65
"14",2011-02-03,-0.71875
"15",2011-03-20,0.5
"16",2011-04-21,0.25
"17",2011-05-01,0
"18",2011-05-02,0.4
"19",2011-05-12,0
"20",2011-05-22,0
"21",2011-05-23,0
"22",2011-05-26,-0.4
"23",2011-05-27,-0.75
"24",2011-06-03,1.35
"25",2011-06-06,-0.5
"26",2011-06-07,-0.75
"27",2011-06-15,-0.82
"28",2011-06-25,0
"29",2011-06-28,0.4
"30",2011-07-03,2.05
"31",2011-07-11,-0.5
"32",2011-08-21,0.5
"33",2011-08-26,0
"34",2011-08-29,0.8
"35",2011-09-04,1.2
"36",2011-09-07,1.35
"37",2011-09-16,0
"38",2011-09-17,0.25
"39",2011-09-19,0.25
"40",2011-09-30,0.5
"41",2011-10-01,0.375
"42",2011-10-17,0.75
"43",2011-10-21,0.75
"44",2011-10-24,0.25
"45",2011-11-27,0
"46",2011-12-18,-0.6
"47",2011-12-22,0
"48",2012-01-17,0
"49",2012-02-23,0
"50",2012-03-03,-0.5
"51",2012-03-11,0
"52",2012-03-18,-1.11666666666667
"53",2012-03-26,0
"54",2012-05-03,0
"55",2012-05-08,-0.15
"56",2012-05-24,-0.264285714285714
"57",2012-05-25,0.2875
"58",2012-05-26,-0.2125
"59",2012-06-01,-0.1
"60",2012-06-02,-0.35
"61",2012-06-06,0
"62",2012-06-12,0.5
"63",2012-06-14,2.4
"64",2012-06-16,1.3
"65",2012-07-05,-0.253846153846154
"66",2012-07-06,0.290909090909091
"67",2012-07-10,0
"68",2012-07-15,2.8
"69",2012-07-20,0
"70",2012-07-25,0.25
"71",2012-07-30,-1
"72",2012-08-02,0.266666666666667
"73",2012-08-03,0
"74",2012-08-13,0
"75",2012-08-26,-0.15
"76",2012-10-29,-0.25
"77",2012-11-03,0
"78",2012-11-09,0
"79",2012-11-10,0.5
"80",2012-12-10,0.25
"81",2012-12-12,1.1
"82",2012-12-23,0
"83",2012-12-24,0
"84",2013-01-17,0.8
"85",2013-01-24,-0.525
"86",2013-01-28,-1
"87",2013-02-16,0
"88",2013-02-17,-0.5
"89",2013-03-05,0
"90",2013-04-18,-1.65
"91",2013-04-29,-1.3125
"92",2013-05-18,0
