WBID,name,mine_query
GB106039023160,Loddon (Swallowfield to River Thames confluence),Loddon river OR Swallowfield River 
GB106039017130,Cove Brook,Cove Brook
GB30642945,Heath Lake,Heath Lake
GB106039017180,Blackwater (Aldershot to Cove Brook confluence at Hawley),Blackwater River OR Aldershot River OR River Hawley
GB106039017140,Bow Brook (Bramley to Sherfield Green),Bow Brook Or Bramley River OR Sherfield Green River
GB106039017110,Vyne Stream,Vyne Stream
GB106039017240,Whitewater,Whitewater London
GB106039017400,Barkham Brook,Barkham Brook
GB106039017330,Loddon (Sherfield on Loddon to Swallowfield),Loddon river OR Sherfield River 
GB106039017090,Hart (Crondall to Elvetham),Hart River OR crondall river or Elvetham river
GB106039017080,Loddon (Basingstoke to River Lyde confluence at Hartley Wespall),Loddon river OR Basingstoke River or River Lyde or Hartley Wespall river
GB106039017120,Fleet Brook,Fleet Brook
GB106039017320,Blackwater (Bramshill to River Loddon confluence at Swallowfield),Blackwater River OR river Loddon OR Swallowfield river
GB106039017170,Hart (Elvetham to Hartley Wintney),Hart River OR Elvetham River OR Hartley Wintney river
GB106039017160,Bow Brook (Pamber End to Bramley),Bow Brook OR Pamber End River OR Bramley River
GB106039023130,Emm Brook,Emm Brook
GB30643339,Mytchett Lake,Mytchett Lake
GB30643315,Fleet Pond,Fleet Pond
GB106039017290,Blackwater (Hawley to Whitewater confluence at Bramshill),Blackwater River OR Hawley river OR bramshilll river
GB106039023190,Twyford Brook,Twyford Brook
GB106039017150,Loddon (Hartley Wespall to Sherfield on Loddon),Loddon OR Hartley Wespall river OR sherfield on loddon river
GB106039017100,Lyde,River Lyde or Lyde London
GB106039017920,Addlestone Bourne (West End to Hale/Mill Bourne confluence at Mimbridge),addlestone bourne river OR west end river OR hale river OR Mill bourne river
GB106039017860,East Clandon Stream,East Clandon Stream
GB30642753,Thorpe Park Lakes,Thorpe Park Lakes
GB30643359,Whitmoor Common Pond,whitmoor common pond
GB30644031,Frensham Great Pond,Frensham Great Pond
GB30643943,Frensham Little Pond,Frensham Little Pond
GB106039017800,North Wey at Alton,North Wey river OR alton river
GB106039017690,Hollywater and Deadwater at Bordon,hollywater river OR deadwater river OR bordon river
GB106039017850,Clasford Brook and Wood Street Brook,Clasford Brook OR Wood Street Brook
GB106039017780,South Wey (River Slea confluence to Tilford),south wey river OR tilford river
GB106039017840,Tillingbourne,Tillingbourne
GB106039017070,Chertsey Bourne (Virginia Water to Chertsey),chertsey bourne river OR virginia water river OR chertsey river
GB106039017760,Royal Brook,Royal Brook
GB106039017030,Chertsey Bourne (Chertsey to River Thames confluence),chertsey bourne OR chertsey river
GB106039017770,Truxford Brook,Truxford Brook
GB106039017750,Slea (Kingsley to Sleaford),slea river OR kingsley river OR sleaford river
GB106039017830,North Wey (Alton to Tilford),north wey river OR alton river OR tilford river
GB106039017790,Ock,Ock River or Ock London or Ock Water
GB106039017930,Hale/Mill Bourne (Bagshot to Addlestone Bourne confluence near Chobham),hale river OR mill bourne OR Chobham river
GB106039017700,South Wey (Haslemere to Bordon),couth wey river OR Haslemere river OR bordon river
