"River Basin District","Management Catchment","Operational Catchment","Water Body ID","Water Body","Water Body Type","Easting","Northing","Ngr","Hydromorphological designation","Year","Status","Cycle","Classification Level","Classification Item","Classification ID","Certainty","Confidence","Deterioration Type","Linked Reasons","Investigation Outcome"
"Thames","Wey and Trib","Wey","GB106039017920","Addlestone Bourne (West End to Hale/Mill Bourne confluence at Mimbridge)","River","496569","161118","SU9656961118","not designated artificial or heavily modified","2019","Good","2","Element","Macrophytes and Phytobenthos Combined","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB106039017920/year/2019/item/wbc_210/cycle/2","No Information","0.84","Face Value Unchanged",,
"Thames","Wey and Trib","Wey","GB106039017920","Addlestone Bourne (West End to Hale/Mill Bourne confluence at Mimbridge)","River","496569","161118","SU9656961118","not designated artificial or heavily modified","2010","High","1","Element","Ammonia (Annex 8)","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB106039017920/year/2010/item/wbc_92/cycle/1","No Information","0.99",,,
"Thames","Wey and Trib","Wey","GB106039017920","Addlestone Bourne (West End to Hale/Mill Bourne confluence at Mimbridge)","River","496569","161118","SU9656961118","not designated artificial or heavily modified","2010","High","1","Element","pH","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB106039017920/year/2010/item/wbc_70/cycle/1","No Information","1",,,
"Thames","Wey and Trib","Wey","GB106039017920","Addlestone Bourne (West End to Hale/Mill Bourne confluence at Mimbridge)","River","496569","161118","SU9656961118","not designated artificial or heavily modified","2011","High","1","Element","Zinc","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB106039017920/year/2011/item/wbc_91/cycle/1","No Information","1",,,
"Thames","Wey and Trib","Wey","GB106039017920","Addlestone Bourne (West End to Hale/Mill Bourne confluence at Mimbridge)","River","496569","161118","SU9656961118","not designated artificial or heavily modified","2019","Moderate","2","Ecological, chemical or quantitative status","Ecological","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB106039017920/year/2019/item/wbc_1/cycle/2","Very Certain",,,,
"Thames","Wey and Trib","Wey","GB106039017920","Addlestone Bourne (West End to Hale/Mill Bourne confluence at Mimbridge)","River","496569","161118","SU9656961118","not designated artificial or heavily modified","2019","Good","2","Element","Hexabromocyclododecane (HBCDD)","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB106039017920/year/2019/item/wbc_242/cycle/2","No Information","0",,,
"Thames","Wey and Trib","Wey","GB106039017920","Addlestone Bourne (West End to Hale/Mill Bourne confluence at Mimbridge)","River","496569","161118","SU9656961118","not designated artificial or heavily modified","2010","High","1","Element","Zinc","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB106039017920/year/2010/item/wbc_91/cycle/1","No Information",,,,
"Thames","Wey and Trib","Wey","GB106039017920","Addlestone Bourne (West End to Hale/Mill Bourne confluence at Mimbridge)","River","496569","161118","SU9656961118","not designated artificial or heavily modified","2009","Does not require assessment","1","Ecological, chemical or quantitative status","Chemical","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB106039017920/year/2009/item/wbc_2/cycle/1","No Information",,,,
"Thames","Wey and Trib","Wey","GB106039017920","Addlestone Bourne (West End to Hale/Mill Bourne confluence at Mimbridge)","River","496569","161118","SU9656961118","not designated artificial or heavily modified","2019","Good","2","Element","Heptachlor and cis-Heptachlor epoxide","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB106039017920/year/2019/item/wbc_241/cycle/2","No Information","0",,,
"Thames","Wey and Trib","Wey","GB106039017920","Addlestone Bourne (West End to Hale/Mill Bourne confluence at Mimbridge)","River","496569","161118","SU9656961118","not designated artificial or heavily modified","2009","Moderate","1","Ecological, chemical or quantitative status","Ecological","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB106039017920/year/2009/item/wbc_1/cycle/1","Very Certain",,,,
"Thames","Wey and Trib","Wey","GB106039017920","Addlestone Bourne (West End to Hale/Mill Bourne confluence at Mimbridge)","River","496569","161118","SU9656961118","not designated artificial or heavily modified","2019","Fail","2","Element","Polybrominated diphenyl ethers (PBDE)","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB106039017920/year/2019/item/wbc_185/cycle/2","Uncertain","0",,,
"Thames","Wey and Trib","Wey","GB106039017920","Addlestone Bourne (West End to Hale/Mill Bourne confluence at Mimbridge)","River","496569","161118","SU9656961118","not designated artificial or heavily modified","2019","Fail","2","Element","Cypermethrin (Priority hazardous)","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB106039017920/year/2019/item/wbc_194/cycle/2","Uncertain","0",,,
"Thames","Wey and Trib","Wey","GB106039017920","Addlestone Bourne (West End to Hale/Mill Bourne confluence at Mimbridge)","River","496569","161118","SU9656961118","not designated artificial or heavily modified","2019","Fail","2","Element","Perfluorooctane sulphonate (PFOS)","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB106039017920/year/2019/item/wbc_190/cycle/2","Uncertain","0",,,
