"","name","WBID","risk"
"1","Cove Brook","GB106039017130","precarious"
"2","Heath Lake","GB30642945","precarious"
"3","Vyne Stream","GB106039017110","precarious"
"4","Whitewater","GB106039017240","precarious"
"5","Barkham Brook","GB106039017400","precarious"
"6","Fleet Brook","GB106039017120","precarious"
"7","Emm Brook","GB106039023130","precarious"
"8","Mytchett Lake","GB30643339","precarious"
"9","Fleet Pond","GB30643315","precarious"
"10","Twyford Brook","GB106039023190","precarious"
"11","Lyde","GB106039017100","precarious"
"12","Tillingbourne","GB106039017840","precarious"
"13","Royal Brook","GB106039017760","precarious"
"14","Truxford Brook","GB106039017770","precarious"
"15","Ock","GB106039017790","precarious"
"16","Guileshill Brook","GB106039017880","precarious"
"17","Boldermere","GB30643218","precarious"
"18","The Tarn","GB30643758","precarious"
"19","Caker Stream","GB106039017730","precarious"
"20","Forest Mere","GB30644576","precarious"
"21","Virginia Water","GB30642691","precarious"
"22","Cranleigh Waters","GB106039017810","precarious"
"23","Cranmer Pond","GB30644464","precarious"
"24","Stratford Brook","GB106039017890","precarious"
"25","Oakhanger Stream","GB106039017710","precarious"
"26","Woolmer Pond","GB30644482","precarious"
"27","Upper Teise","GB106040018250","precarious"
"28","Lower Teise","GB106040018130","precarious"
"29","Bewl","GB106040018500","precarious"
"30","Bewl Water","GB30644398","precarious"
"31","Bourne (Medway)","GB106040018210","precarious"
"32","Hilden Brook","GB106040018170","precarious"
"33","Loose Stream","GB106040018420","precarious"
"34","Ditton Stream","GB106040018200","precarious"
"35","Leybourne Stream","GB106040018450","precarious"
"36","Somerhill Stream","GB106040018410","precarious"
"37","Tudeley Brook","GB106040018120","precarious"
"38","Len","GB106040018430","precarious"
"39","Mereworth Stream","GB106040018190","precarious"
"40","Snodland Reservoir","GB30643117","precarious"
"41","Sherway","GB106040018320","precarious"
"42","Hammer Stream","GB106040018290","precarious"
"43","Ulcombe Stream","GB106040018330","precarious"
"44","Beult","GB106040018270","precarious"
"45","Upper Beult","GB106040018300","precarious"
"46","Ray Brook","GB106040018340","precarious"
"47","Eden Brook","GB106040018660","precarious"
