"","name","WBID","risk"
"1","Loddon (Swallowfield to River Thames confluence)","GB106039023160","minimal"
"2","Blackwater (Aldershot to Cove Brook confluence at Hawley)","GB106039017180","minimal"
"3","Bow Brook (Bramley to Sherfield Green)","GB106039017140","minimal"
"4","Loddon (Sherfield on Loddon to Swallowfield)","GB106039017330","minimal"
"5","Hart (Crondall to Elvetham)","GB106039017090","minimal"
"6","Loddon (Basingstoke to River Lyde confluence at Hartley Wespall)","GB106039017080","minimal"
"7","Blackwater (Bramshill to River Loddon confluence at Swallowfield)","GB106039017320","minimal"
"8","Hart (Elvetham to Hartley Wintney)","GB106039017170","minimal"
"9","Bow Brook (Pamber End to Bramley)","GB106039017160","minimal"
"10","Blackwater (Hawley to Whitewater confluence at Bramshill)","GB106039017290","minimal"
"11","Loddon (Hartley Wespall to Sherfield on Loddon)","GB106039017150","minimal"
"12","Addlestone Bourne (West End to Hale/Mill Bourne confluence at Mimbridge)","GB106039017920","minimal"
"13","East Clandon Stream","GB106039017860","minimal"
"14","Thorpe Park Lakes","GB30642753","minimal"
"15","Whitmoor Common Pond","GB30643359","minimal"
"16","Frensham Great Pond","GB30644031","minimal"
"17","Frensham Little Pond","GB30643943","minimal"
"18","North Wey at Alton","GB106039017800","minimal"
"19","Hollywater and Deadwater at Bordon","GB106039017690","minimal"
"20","Clasford Brook and Wood Street Brook","GB106039017850","minimal"
"21","South Wey (River Slea confluence to Tilford)","GB106039017780","minimal"
"22","Chertsey Bourne (Virginia Water to Chertsey)","GB106039017070","minimal"
"23","Chertsey Bourne (Chertsey to River Thames confluence)","GB106039017030","minimal"
"24","Slea (Kingsley to Sleaford)","GB106039017750","minimal"
"25","North Wey (Alton to Tilford)","GB106039017830","minimal"
"26","Hale/Mill Bourne (Bagshot to Addlestone Bourne confluence near Chobham)","GB106039017930","minimal"
"27","South Wey (Haslemere to Bordon)","GB106039017700","minimal"
"28","Chertsey Bourne (Sunningdale to Virginia Water)","GB106039017040","minimal"
"29","Hoe Stream (Pirbright to River Wey confluence at Woking)","GB106039017900","minimal"
"30","Wey (Shalford to River Thames confluence at Weybridge)","GB106039017630","minimal"
"31","Wey Navigation (Pyrford reach)","GB106039017910","minimal"
