"","WBID","name","mine_query","mine_noise_risk"
"1","GB106039023160","Loddon (Swallowfield to River Thames confluence)","","medium/low"
"2","GB106039017130","Cove Brook","Cove Brook","medium/low"
"3","GB30642945","Heath Lake","","medium/low"
"4","GB106039017180","Blackwater (Aldershot to Cove Brook confluence at Hawley)","","medium/low"
"5","GB106039017140","Bow Brook (Bramley to Sherfield Green)","","medium/low"
"6","GB106039017110","Vyne Stream","Vyne Stream","medium/low"
"7","GB106039017240","Whitewater","Whitewater","medium/low"
"8","GB106039017400","Barkham Brook","Barkham Brook","medium/low"
"9","GB106039017330","Loddon (Sherfield on Loddon to Swallowfield)","","medium/low"
"10","GB106039017090","Hart (Crondall to Elvetham)","","medium/low"
"11","GB106039017080","Loddon (Basingstoke to River Lyde confluence at Hartley Wespall)","","medium/low"
"12","GB106039017120","Fleet Brook","Fleet Brook","medium/low"
"13","GB106039017320","Blackwater (Bramshill to River Loddon confluence at Swallowfield)","","medium/low"
"14","GB106039017170","Hart (Elvetham to Hartley Wintney)","","medium/low"
"15","GB106039017160","Bow Brook (Pamber End to Bramley)","","medium/low"
"16","GB106039023130","Emm Brook","Emm Brook","medium/low"
"17","GB30643339","Mytchett Lake","","medium/low"
"18","GB30643315","Fleet Pond","Fleet Pond","medium/low"
"19","GB106039017290","Blackwater (Hawley to Whitewater confluence at Bramshill)","","medium/low"
"20","GB106039023190","Twyford Brook","Twyford Brook","medium/low"
"21","GB106039017150","Loddon (Hartley Wespall to Sherfield on Loddon)","","medium/low"
"22","GB106039017100","Lyde","Lyde","medium/low"
"23","GB106039017920","Addlestone Bourne (West End to Hale/Mill Bourne confluence at Mimbridge)","","medium/low"
"24","GB106039017860","East Clandon Stream","East Clandon Stream","medium/low"
"25","GB30642753","Thorpe Park Lakes","Thorpe Park Lakes","medium/low"
"26","GB30643359","Whitmoor Common Pond","","medium/low"
"27","GB30644031","Frensham Great Pond","Frensham Great Pond","medium/low"
"28","GB30643943","Frensham Little Pond","Frensham Little Pond","medium/low"
"29","GB106039017800","North Wey at Alton","North Wey","medium/low"
"30","GB106039017690","Hollywater and Deadwater at Bordon","","medium/low"
"31","GB106039017850","Clasford Brook and Wood Street Brook","Clasford Brook OR Wood Street Brook","medium/low"
"32","GB106039017780","South Wey (River Slea confluence to Tilford)","","medium/low"
"33","GB106039017840","Tillingbourne","Tillingbourne","medium/low"
"34","GB106039017070","Chertsey Bourne (Virginia Water to Chertsey)","","medium/low"
"35","GB106039017760","Royal Brook","Royal Brook","medium/low"
"36","GB106039017030","Chertsey Bourne (Chertsey to River Thames confluence)","","medium/low"
"37","GB106039017770","Truxford Brook","Truxford Brook","medium/low"
"38","GB106039017750","Slea (Kingsley to Sleaford)","","medium/low"
"39","GB106039017830","North Wey (Alton to Tilford)","","medium/low"
"40","GB106039017790","Ock","Ock","medium/low"
"41","GB106039017930","Hale/Mill Bourne (Bagshot to Addlestone Bourne confluence near Chobham)","","medium/low"
"42","GB106039017700","South Wey (Haslemere to Bordon)","","medium/low"
"43","GB106039017040","Chertsey Bourne (Sunningdale to Virginia Water)","","medium/low"
"44","GB106039017900","Hoe Stream (Pirbright to River Wey confluence at Woking)","","medium/low"
"45","GB106039017630","Wey (Shalford to River Thames confluence at Weybridge)","","medium/low"
"46","GB106039017880","Guileshill Brook","Guileshill Brook","medium/low"
"47","GB106039017910","Wey Navigation (Pyrford reach)","","medium/low"
"48","GB30643218","Boldermere","Boldermere","medium/low"
"49","GB106039017870","Hoe Stream (Normandy to Pirbright)","","medium/low"
"50","GB30643758","The Tarn","","medium/low"
"51","GB106039017730","Caker Stream","Caker Stream","medium/low"
"52","GB30644576","Forest Mere","Forest Mere","medium/low"
"53","GB106039017050","Chertsey Bourne (Ascot to Virginia Water)","","medium/low"
"54","GB106039017060","The Moat at Egham","Moat Egham","medium/low"
"55","GB106039017020","Addlestone Bourne (Mill/Hale to Chertsey Bourne)","","medium/low"
"56","GB106039017820","Wey (Tilford to Shalford)","","medium/low"
"57","GB106039017720","South Wey (Bordon to River Slea confluence)","","medium/low"
"58","GB30642691","Virginia Water","Virginia Water","medium/low"
"59","GB106039017810","Cranleigh Waters","Cranleigh Waters","medium/low"
"60","GB30644464","Cranmer Pond","","medium/low"
"61","GB106039017890","Stratford Brook","Stratford Brook","medium/low"
"62","GB106039017710","Oakhanger Stream","Oakhanger Stream","medium/low"
"63","GB30642875","Swinley Park Pond","","medium/low"
"64","GB30644482","Woolmer Pond","","medium/low"
"65","GB106040018310","Marden Mill Stream","Marden Mill Stream","medium/low"
"66","GB106040018250","Upper Teise","Teise","medium/low"
"67","GB106040018260","Teise and Lesser Teise","Teise OR Lesser Teise","medium/low"
"68","GB106040018130","Lower Teise","Teise","medium/low"
"69","GB106040018240","Bartley Mill Stream","Bartley Mill Stream","medium/low"
"70","GB106040018520","Teise at Lamberhurst","Teise","medium/low"
"71","GB106040018500","Bewl","Bewl","medium/low"
"72","GB106040018510","Tributary of Teise","","medium/low"
"73","GB30644398","Bewl Water","Bewl Water","medium/low"
"74","GB106040018440","Medway at Maidstone","Medway","medium/low"
