"","created_at","mean_senti"
"1",2009-03-27,0
"2",2009-05-04,0.8
"3",2009-06-02,1
"4",2009-06-15,1.05
"5",2009-07-31,0.25
"6",2009-08-12,0.1
"7",2009-08-20,0.6
"8",2009-08-26,0.9
"9",2009-10-05,-0.6
"10",2009-11-16,0
"11",2009-12-22,0
"12",2010-04-15,-0.25
"13",2010-04-29,0
"14",2010-06-01,1.65
"15",2010-06-22,0.75
"16",2010-07-05,1.15
"17",2010-07-06,-0.5
"18",2010-07-27,1.6
"19",2010-08-11,0.5
"20",2010-09-15,0.8
"21",2010-09-22,0.75
"22",2010-10-07,0
"23",2010-11-17,1
"24",2010-11-28,0.5
"25",2010-12-15,0.25
"26",2011-01-13,0
"27",2011-01-19,1.35
"28",2011-02-01,1.8
"29",2011-03-20,-0.4
"30",2011-03-22,1.25
"31",2011-04-10,1.35
"32",2011-04-12,3.25
"33",2011-04-13,0.05
"34",2011-04-18,-0.75
"35",2011-04-27,-0.2
"36",2011-05-01,1
"37",2011-05-04,-2.5
"38",2011-05-10,0.35
"39",2011-05-17,0.75
"40",2011-05-20,0
"41",2011-05-21,0.2
"42",2011-05-31,1.35
"43",2011-07-02,-1.75
"44",2011-07-25,0
"45",2011-07-31,2.35
"46",2011-08-01,0.8
"47",2011-08-10,0.85
"48",2011-08-13,0.9
"49",2011-08-28,0
"50",2011-08-30,1
"51",2011-09-11,0
"52",2011-09-14,0.6
"53",2011-09-25,1.4
"54",2011-10-04,2
"55",2011-10-22,1.7
"56",2011-11-04,0.1
"57",2011-11-13,0.8
"58",2011-11-21,0
"59",2011-12-02,-1.5
"60",2011-12-14,0.8
"61",2012-01-12,0
"62",2012-01-13,0
"63",2012-01-27,0.8
"64",2012-02-17,0
"65",2012-02-21,0.5
"66",2012-02-25,0
"67",2012-02-27,0.666666666666667
"68",2012-02-28,0
"69",2012-02-29,0.275
"70",2012-03-10,0.5
"71",2012-03-15,0.25
"72",2012-03-21,0
"73",2012-03-22,1.55
"74",2012-03-26,0
"75",2012-04-02,0
"76",2012-04-11,0
"77",2012-04-13,0
"78",2012-04-20,0
"79",2012-04-26,0.533333333333333
"80",2012-04-28,1.05
"81",2012-04-30,0
"82",2012-05-01,-1.5
"83",2012-05-02,0
"84",2012-05-22,1.85
"85",2012-05-28,0
"86",2012-06-11,-0.25
"87",2012-06-20,0
"88",2012-06-25,0
"89",2012-06-27,0
"90",2012-07-01,0.75
"91",2012-07-04,0
"92",2012-08-08,0.25
"93",2012-08-14,1.3
"94",2012-08-20,0
"95",2012-08-22,0
"96",2012-08-23,0.85
"97",2012-08-24,0
"98",2012-08-30,0
"99",2012-09-03,-1
"100",2012-09-05,0
"101",2012-09-08,0
"102",2012-09-29,0.75
"103",2012-10-08,0.125
"104",2012-10-15,0
"105",2012-10-17,0.0833333333333333
"106",2012-10-18,1.55
"107",2012-10-24,0
"108",2012-10-25,0.4
"109",2012-11-05,0.65
"110",2012-11-23,-0.230769230769231
"111",2012-11-25,-0.25
"112",2012-11-26,0.07
"113",2012-11-27,-0.45
"114",2012-11-28,-0.1
"115",2012-12-03,-0.25
"116",2012-12-04,-0.9
"117",2012-12-20,-0.125
"118",2012-12-27,-0.125
"119",2012-12-28,0.0166666666666667
"120",2012-12-29,-0.1
"121",2012-12-30,0
"122",2012-12-31,0.25
"123",2013-01-02,1.2
"124",2013-01-05,-0.186111111111111
"125",2013-01-06,-0.2
"126",2013-01-07,-0.5375
"127",2013-01-08,-0.08
"128",2013-01-13,0
"129",2013-01-14,1.35
"130",2013-01-26,0.8
"131",2013-01-29,-0.25
"132",2013-02-16,0.6
"133",2013-02-28,0.4
"134",2013-03-13,0.6
"135",2013-03-16,0.6
"136",2013-03-20,0.6
"137",2013-03-23,0.35
"138",2013-03-25,0.6
"139",2013-03-27,-1.75
"140",2013-04-15,0.6
"141",2013-04-16,0.6
"142",2013-04-18,0.6
"143",2013-04-30,0
"144",2013-05-12,0
"145",2013-05-21,-1.15
"146",2013-05-22,0
"147",2013-05-23,0.75
"148",2013-05-25,-0.65
"149",2013-06-08,0.5
"150",2013-06-12,0.25
"151",2013-06-15,0
"152",2013-06-30,1.75
"153",2013-07-06,0
"154",2013-07-09,0
"155",2013-07-16,0
"156",2013-07-18,-0.1
"157",2013-07-22,0.25
"158",2013-07-27,0
"159",2013-08-05,0.75
"160",2013-08-09,-0.125
"161",2013-08-11,0.5
"162",2013-08-12,0.75
"163",2013-08-14,0
"164",2013-08-21,1.5
"165",2013-08-25,0
"166",2013-08-26,1
"167",2013-08-28,1.3
"168",2013-08-29,0.25
"169",2013-08-30,0.25
"170",2013-08-31,0.5
"171",2013-09-02,0
"172",2013-09-06,-0.75
"173",2013-09-07,-0.5
"174",2013-09-12,0.133333333333333
"175",2013-09-13,-0.8
"176",2013-09-25,0.5
"177",2013-10-01,0
"178",2013-10-21,0
"179",2013-10-22,0.125
"180",2013-10-28,0.05
"181",2013-10-29,-0.85
"182",2013-11-03,0.3
"183",2013-11-04,0.05
"184",2013-11-05,0.3
"185",2013-12-01,0.1
"186",2013-12-15,0
"187",2013-12-22,0.75
"188",2013-12-23,-0.4
"189",2013-12-26,0
"190",2014-01-03,0.4
"191",2014-01-04,0
"192",2014-01-06,-0.1
"193",2014-01-07,-0.0681818181818182
"194",2014-01-08,-0.204
"195",2014-01-09,-0.142307692307692
"196",2014-01-10,0.0166666666666667
"197",2014-01-11,0.725
"198",2014-01-12,-0.85
"199",2014-01-13,-0.1625
"200",2014-01-15,0.0125
"201",2014-01-16,0
"202",2014-01-17,-0.8
"203",2014-01-23,-0.425
"204",2014-02-01,1
"205",2014-02-03,1.15
"206",2014-02-04,-0.85
"207",2014-02-05,-0.17
"208",2014-02-06,-0.4375
"209",2014-02-07,0.75
"210",2014-02-08,0.118181818181818
"211",2014-02-09,-0.192307692307692
"212",2014-02-10,-0.005
"213",2014-02-11,0.128125
"214",2014-02-12,0.107142857142857
"215",2014-02-13,0.0166666666666667
"216",2014-02-14,-0.00454545454545455
"217",2014-02-15,-0.1375
"218",2014-02-16,0.4
"219",2014-02-17,-0.208333333333333
"220",2014-02-18,0.166666666666667
"221",2014-02-19,0.375
"222",2014-02-20,1.2
"223",2014-02-22,-0.5
"224",2014-02-23,0
"225",2014-02-26,-0.8
"226",2014-02-27,0.5
"227",2014-03-01,0.25
"228",2014-03-06,0
"229",2014-03-16,1.2
"230",2014-03-24,1.4
"231",2014-03-29,0
"232",2014-04-01,0.9
"233",2014-04-16,0
"234",2014-04-24,-0.5
"235",2014-04-30,-0.3
"236",2014-05-10,1.05
"237",2014-05-12,-1
"238",2014-05-13,0.5
"239",2014-05-19,-1.05
"240",2014-05-27,-0.5
"241",2014-05-29,0
"242",2014-06-03,0.75
"243",2014-06-04,1
"244",2014-06-06,1.1
"245",2014-06-10,1.05
"246",2014-06-23,0.875
"247",2014-06-26,0.6
"248",2014-07-23,0
"249",2014-07-25,0
"250",2014-08-07,0.4
"251",2014-08-15,1.2
"252",2014-08-16,0
"253",2014-08-22,0
"254",2014-08-27,0
"255",2014-08-28,0.1
"256",2014-09-01,1.3
"257",2014-09-05,0.9
"258",2014-09-06,0.5
"259",2014-09-21,0
"260",2014-09-22,1.5
"261",2014-09-24,0.4
"262",2014-10-04,0.5
"263",2014-10-07,1.5
"264",2014-10-14,0.0833333333333333
"265",2014-10-15,-0.26
"266",2014-10-17,-0.25
"267",2014-10-28,0.15
"268",2014-10-31,1.6
"269",2014-11-07,0.75
"270",2014-11-14,0.25
"271",2014-11-20,1.5
"272",2014-11-23,0.1
"273",2014-11-24,-0.65
"274",2014-11-26,-0.25
"275",2014-12-03,0
"276",2014-12-19,0
"277",2014-12-21,0.4
"278",2015-01-02,0.5
"279",2015-01-03,1.55
"280",2015-01-08,1
"281",2015-01-09,1.4
"282",2015-01-13,-0.416666666666667
"283",2015-01-24,1.1
"284",2015-01-25,0.55
"285",2015-02-04,1.1
"286",2015-02-09,1.6
"287",2015-02-20,3.5
"288",2015-02-23,1.1
"289",2015-02-26,0.6
"290",2015-03-03,2.95
